Route,Date,Total_Market_Forecast,Total_Market_Lower_CI,Total_Market_Upper_CI,CebuPac_Forecast,CebuPac_Lower_CI,CebuPac_Upper_CI
Del Carmin (IAO)-Cebu (CEB),2026-01-01,13261.019456291695,11690.0741588398,14831.96475374359,14.332235294117648,-77.43695953598865,106.10143012422395
Del Carmin (IAO)-Cebu (CEB),2026-02-01,12309.040669539263,10738.095372087368,13879.985966991158,14.332235294117648,-77.43695953598865,106.10143012422395
Del Carmin (IAO)-Cebu (CEB),2026-03-01,13395.993999056274,11825.048701604379,14966.93929650817,14.332235294117648,-77.43695953598865,106.10143012422395
Del Carmin (IAO)-Cebu (CEB),2026-04-01,14351.955167722093,12781.009870270198,15922.900465173989,14.332235294117648,-77.43695953598865,106.10143012422395
Del Carmin (IAO)-Cebu (CEB),2026-05-01,14474.515713676637,12903.570416224742,16045.461011128533,14.332235294117648,-77.43695953598865,106.10143012422395
Del Carmin (IAO)-Cebu (CEB),2026-06-01,15442.138193017194,13871.192895565298,17013.08349046909,14.332235294117648,-77.43695953598865,106.10143012422395
Dipolog (DPL)-Manila (MNL),2025-07-01,10623.083600173894,7592.6793358956365,13653.48786445215,6795.846769640793,4696.2674004663495,8895.426138815237
Dipolog (DPL)-Manila (MNL),2025-08-01,9923.168335795172,5143.767717780665,14702.568953809678,6510.63887028724,3157.6557742256655,9863.621966348815
Dipolog (DPL)-Manila (MNL),2025-09-01,9942.07756015653,4629.688634028153,15254.466486284906,6030.884983510649,2164.7511432201486,9897.01882380115
Dipolog (DPL)-Manila (MNL),2025-10-01,9942.07756015653,4629.688634028153,15254.466486284906,6030.884983510649,2164.7511432201486,9897.01882380115
Dipolog (DPL)-Manila (MNL),2025-11-01,9942.07756015653,4629.688634028153,15254.466486284906,6030.884983510649,2164.7511432201486,9897.01882380115
Dipolog (DPL)-Manila (MNL),2025-12-01,9942.07756015653,4629.688634028153,15254.466486284906,6030.884983510649,2164.7511432201486,9897.01882380115
Dipolog (DPL)-Manila (MNL),2026-01-01,9942.07756015653,4629.688634028153,15254.466486284906,6030.884983510649,2164.7511432201486,9897.01882380115
Dipolog (DPL)-Manila (MNL),2026-02-01,9942.07756015653,4629.688634028153,15254.466486284906,6030.884983510649,2164.7511432201486,9897.01882380115
Dipolog (DPL)-Manila (MNL),2026-03-01,9942.07756015653,4629.688634028153,15254.466486284906,6030.884983510649,2164.7511432201486,9897.01882380115
Dipolog (DPL)-Manila (MNL),2026-04-01,9942.07756015653,4629.688634028153,15254.466486284906,6030.884983510649,2164.7511432201486,9897.01882380115
Dipolog (DPL)-Manila (MNL),2026-05-01,9942.07756015653,4629.688634028153,15254.466486284906,6030.884983510649,2164.7511432201486,9897.01882380115
Dipolog (DPL)-Manila (MNL),2026-06-01,9942.07756015653,4629.688634028153,15254.466486284906,6030.884983510649,2164.7511432201486,9897.01882380115
Dumaguete City (DGT)-Manila (MNL),2025-07-01,27346.47861551002,22987.336304421795,31705.620926598243,18384.700081943643,15026.15056668582,21743.249597201466
Dumaguete City (DGT)-Manila (MNL),2025-08-01,27346.47861551002,19985.862549442078,34707.09468157796,18384.700081943643,11789.836715836112,24979.563448051173
Dumaguete City (DGT)-Manila (MNL),2025-09-01,27346.47861551002,17893.68981771096,36799.26741330908,18384.700081943643,9683.861571270332,27085.538592616955
Dumaguete City (DGT)-Manila (MNL),2025-10-01,27346.47861551002,16187.098559273327,38505.85867174671,18384.700081943643,7996.391328349326,28773.008835537963
Dumaguete City (DGT)-Manila (MNL),2025-11-01,27346.47861551002,14708.903277524052,39984.05395349598,18384.700081943643,6547.076725408222,30222.323438479063
Dumaguete City (DGT)-Manila (MNL),2025-12-01,27346.47861551002,13386.361939528797,41306.59529149124,18384.700081943643,5256.802508364639,31512.597655522648
Dumaguete City (DGT)-Manila (MNL),2026-01-01,27346.47861551002,12178.703406510285,42514.25382450975,18384.700081943643,4082.4603037281304,32686.939860159157
Dumaguete City (DGT)-Manila (MNL),2026-02-01,27346.47861551002,11060.35102254045,43632.606208479585,18384.700081943643,2997.4836135644873,33771.9165503228
Dumaguete City (DGT)-Manila (MNL),2026-03-01,27346.47861551002,10014.009110034964,44678.94812098508,18384.700081943643,1984.1269634228374,34785.27320046445
Dumaguete City (DGT)-Manila (MNL),2026-04-01,27346.47861551002,9027.334357604286,45665.62287341575,18384.700081943643,1029.8400540685761,35739.56010981871
Dumaguete City (DGT)-Manila (MNL),2026-05-01,27346.47861551002,8091.15224783454,46601.8049831855,18384.700081943643,125.35905992632615,36644.04110396096
Dumaguete City (DGT)-Manila (MNL),2026-06-01,27346.47861551002,7198.423108602252,47494.53412241778,18384.700081943643,-736.3852044493105,37505.7853683366
General Santos (GES)-Cebu (CEB),2025-07-01,4020.0404281297683,421.41112085301756,7618.669735406519,5666.96564761424,2263.056036252669,9070.875258975811
General Santos (GES)-Cebu (CEB),2025-08-01,4354.107620732964,41.423622936595166,8666.791618529332,2485.519006008721,-982.2879487801802,5953.325960797622
General Santos (GES)-Cebu (CEB),2025-09-01,4574.748888878772,-14.749959239567943,9164.247736997113,4340.519302820516,121.66028816372454,8559.378317477307
General Santos (GES)-Cebu (CEB),2025-10-01,4720.475767443633,15.323457831313135,9425.628077055953,3818.8647740510905,-399.9942406057007,8037.723788707882
General Santos (GES)-Cebu (CEB),2025-11-01,4816.723959428389,62.00241438877583,9571.445504468003,5532.012001815245,1313.1529871584535,9750.871016472036
General Santos (GES)-Cebu (CEB),2025-12-01,4880.292976699362,104.10947775058412,9656.47647564814,5335.529412506667,1116.6703978498754,9554.388427163458
General Santos (GES)-Cebu (CEB),2026-01-01,4922.278388305194,136.7629014302529,9707.793875180136,5138.086983476467,919.2279688196759,9356.945998133258
General Santos (GES)-Cebu (CEB),2026-02-01,4950.00848172786,160.4278883318375,9739.589075123884,4263.23695937507,44.37794471827874,8482.095974031861
General Santos (GES)-Cebu (CEB),2026-03-01,4968.323369014162,176.97057417798806,9759.676163850338,6544.204498648482,2325.3454839916903,10763.063513305273
General Santos (GES)-Cebu (CEB),2026-04-01,4980.419797655682,188.29413794426273,9772.545457367101,4711.753029256349,492.8940145995575,8930.612043913141
General Santos (GES)-Cebu (CEB),2026-05-01,4988.409122601667,195.9463626144152,9780.87188258892,3873.489889558535,-345.36912509825606,8092.348904215327
General Santos (GES)-Cebu (CEB),2026-06-01,4993.685829883142,201.07602735246746,9786.295632413818,4929.904690256483,711.045675599692,9148.763704913275
