DATE,FROM,TO,AIRCRAFT,FLIGHT TIME,STD,ATD,STA,STATUS,FLIGHT NUMBER,AIRLINE
3/5/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5902),1:16:00,10:35:00,10:37:00,12:10:00,Landed 11:53 AM,PR2688,Philippine Airlines
3/3/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5907),-,10:35:00,10:57:00,12:10:00,Diverted to CRK,PR2688,Philippine Airlines
3/2/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5906),1:12:00,10:35:00,10:59:00,12:10:00,Landed 12:12 PM,PR2688,Philippine Airlines
2/28/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5910),1:14:00,10:35:00,10:34:00,12:10:00,Landed 11:48 AM,PR2688,Philippine Airlines
2/26/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5912),1:11:00,10:35:00,10:18:00,12:10:00,Landed 11:29 AM,PR2688,Philippine Airlines
2/24/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5917),1:12:00,10:35:00,11:27:00,12:10:00,Landed 12:39 PM,PR2688,Philippine Airlines
2/23/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5915),1:10:00,10:35:00,10:09:00,12:10:00,Landed 11:20 AM,PR2688,Philippine Airlines
2/21/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5910),1:14:00,10:35:00,10:43:00,12:10:00,Landed 11:58 AM,PR2688,Philippine Airlines
2/19/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5911),1:15:00,10:35:00,10:17:00,12:10:00,Landed 11:33 AM,PR2688,Philippine Airlines
2/17/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5903),0:53:00,10:35:00,10:47:00,12:10:00,Landed 11:40 AM,PR2688,Philippine Airlines
2/16/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5912),1:12:00,10:35:00,10:31:00,12:10:00,Landed 11:44 AM,PR2688,Philippine Airlines
2/12/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5912),1:11:00,10:35:00,10:28:00,12:10:00,Landed 11:39 AM,PR2688,Philippine Airlines
2/10/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5906),1:14:00,10:35:00,10:43:00,12:10:00,Landed 11:58 AM,PR2688,Philippine Airlines
2/5/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5915),1:10:00,10:35:00,10:19:00,12:10:00,Landed 11:29 AM,PR2688,Philippine Airlines
2/3/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5915),1:15:00,10:35:00,10:32:00,12:10:00,Landed 11:47 AM,PR2688,Philippine Airlines
2/2/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5915),1:11:00,10:35:00,10:20:00,12:10:00,Landed 11:31 AM,PR2688,Philippine Airlines
1/31/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5903),1:44:00,10:35:00,10:48:00,12:10:00,Landed 12:32 PM,PR2688,Philippine Airlines
1/29/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5901),0:50:00,10:35:00,11:02:00,12:10:00,Landed 11:53 AM,PR2688,Philippine Airlines
1/27/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5903),1:10:00,10:35:00,10:22:00,12:10:00,Landed 11:33 AM,PR2688,Philippine Airlines
1/26/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5917),1:24:00,10:35:00,10:27:00,12:10:00,Landed 11:52 AM,PR2688,Philippine Airlines
1/24/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5903),1:20:00,10:35:00,10:44:00,12:10:00,Landed 12:04 PM,PR2688,Philippine Airlines
